DocID,TF-IDF,Okapi TF,BM25,Laplace,Jelinek-Mercer,Label
061-67,0,0,0,-121.50965920913573,-121.50965920913573,0
217-2,0,0,0,-151.88707401141966,-151.88707401141966,0
173-87,0,0,0,-243.01931841827147,-243.01931841827147,0
298-24,0,0,0,-263.27092828646073,-263.27092828646073,0
051-43,0,0,0,-222.76770855008218,-222.76770855008218,0
098-62,0,0,0,-151.88707401141966,-151.88707401141966,0
303-26,0,0,0,-141.761269077325,-141.761269077325,0
176-24,0,0,0,-162.0128789455143,-162.0128789455143,0
283-20,0,0,0,-70.8806345386625,-70.8806345386625,0
204-3,0,0,0,-111.38385427504109,-111.38385427504109,0
154-14,0,0,0,-222.76770855008218,-222.76770855008218,0
356-87,0,0,0,-101.25804934094644,-101.25804934094644,0
094-64,0,0,0,-222.76770855008218,-222.76770855008218,0
210-78,0,0,0,-101.25804934094644,-101.25804934094644,0
255-4,0,0,0,-293.6483430887446,-293.6483430887446,0
168-86,0,0,0,-202.51609868189288,-202.51609868189288,0
247-44,0,0,0,-222.76770855008218,-222.76770855008218,0
352-59,0,0,0,-202.51609868189288,-202.51609868189288,0
205-13,0,0,0,-141.761269077325,-141.761269077325,0
360-55,0,0,0,-263.27092828646073,-263.27092828646073,0
241-85,0,0,0,-334.15156282512305,-334.15156282512305,0
107-82,0,0,0,-243.01931841827147,-243.01931841827147,0
273-24,0,0,0,-101.25804934094644,-101.25804934094644,0
034-85,0,0,0,-232.89351348417682,-232.89351348417682,0
321-64,0,0,0,-232.89351348417682,-232.89351348417682,0
204-63,0,0,0,-111.38385427504109,-111.38385427504109,0
209-18,0,0,0,-232.89351348417682,-232.89351348417682,0
231-45,0,0,0,-111.38385427504109,-111.38385427504109,0
130-42,0,0,0,-121.50965920913573,-121.50965920913573,0
190-13,0,0,0,-172.13868387960895,-172.13868387960895,0
114-36,0,0,0,-253.1451233523661,-253.1451233523661,0
255-40,0,0,0,-293.6483430887446,-293.6483430887446,0
022-38,0,0,0,-192.39029374779824,-192.39029374779824,0
247-27,0,0,0,-222.76770855008218,-222.76770855008218,0
196-50,0,0,0,-212.64190361598753,-212.64190361598753,0
010-3,0,0,0,-141.761269077325,-141.761269077325,0
031-13,0,0,0,-172.13868387960895,-172.13868387960895,0
267-42,0,0,0,-131.63546414323037,-131.63546414323037,0
107-51,0,0,0,-243.01931841827147,-243.01931841827147,0
054-45,0,0,0,-192.39029374779824,-192.39029374779824,0
306-3,0,0,0,-182.2644888137036,-182.2644888137036,0
160-74,0,0,0,-50.629024670473214,-50.629024670473214,0
139-81,0,0,0,-81.00643947275715,-81.00643947275715,0
157-16,0,0,0,-263.27092828646073,-263.27092828646073,0
257-46,0,0,0,-303.7741480228392,-303.7741480228392,0
093-14,0,0,0,-263.27092828646073,-263.27092828646073,0
224-92,0,0,0,-162.0128789455143,-162.0128789455143,0
151803-1950,0.0,0.0,0.0,0,0,0
255-20,0,0,0,-293.6483430887446,-293.6483430887446,0
261-88,0,0,0,-101.25804934094644,-101.25804934094644,0
292-49,0,0,0,-222.76770855008218,-222.76770855008218,0
300-41,0,0,0,-111.38385427504109,-111.38385427504109,0
018-61,0,0,0,-162.0128789455143,-162.0128789455143,0
143-7,0,0,0,-101.25804934094644,-101.25804934094644,0
187-23,0,0,0,-212.64190361598753,-212.64190361598753,0
160-81,0,0,0,-50.629024670473214,-50.629024670473214,0
022-7,0,0,0,-192.39029374779824,-192.39029374779824,0
094-59,0,0,0,-222.76770855008218,-222.76770855008218,0
291-56,0,0,0,-202.51609868189288,-202.51609868189288,0
131-77,0,0,0,-202.51609868189288,-202.51609868189288,0
027-96,0,0,0,-60.75482960456786,-60.75482960456786,0
120-22,0,0,0,-212.64190361598753,-212.64190361598753,0
033-75,0,0,0,-131.63546414323037,-131.63546414323037,0
151803-15206,0.0,0.0,0.0,0,0,0
336-29,0,0,0,-182.2644888137036,-182.2644888137036,0
137-93,0,0,0,-212.64190361598753,-212.64190361598753,0
067-39,0,0,0,-121.50965920913573,-121.50965920913573,0
293-31,0,0,0,-293.6483430887446,-293.6483430887446,0
098-58,0,0,0,-151.88707401141966,-151.88707401141966,0
141-79,0,0,0,-222.76770855008218,-222.76770855008218,0
181-14,0,0,0,-172.13868387960895,-172.13868387960895,0
296-98,0,0,0,-70.8806345386625,-70.8806345386625,0
164-82,0,0,0,-232.89351348417682,-232.89351348417682,0
151801-1061,0.0,0.0,0.0,0,0,0
100-98,0,0,0,-121.50965920913573,-121.50965920913573,0
176-82,0,0,0,-162.0128789455143,-162.0128789455143,0
204-23,0,0,0,-111.38385427504109,-111.38385427504109,0
181-21,0,0,0,-172.13868387960895,-172.13868387960895,0
323-63,0,0,0,-131.63546414323037,-131.63546414323037,0
106-86,0,0,0,-162.0128789455143,-162.0128789455143,0
214-32,0,0,0,-334.15156282512305,-334.15156282512305,0
293-68,0,0,0,-293.6483430887446,-293.6483430887446,0
255-67,0,0,0,-293.6483430887446,-293.6483430887446,0
315-65,0,0,0,-131.63546414323037,-131.63546414323037,0
072-21,0,0,0,-253.1451233523661,-253.1451233523661,0
136-34,0,0,0,-232.89351348417682,-232.89351348417682,0
347-15,0,0,0,-162.0128789455143,-162.0128789455143,0
053-23,0,0,0,-101.25804934094644,-101.25804934094644,0
156-45,0,0,0,-50.629024670473214,-50.629024670473214,0
080-15,0,0,0,-131.63546414323037,-131.63546414323037,0
232-27,0,0,0,-243.01931841827147,-243.01931841827147,0
101-71,0,0,0,-232.89351348417682,-232.89351348417682,0
201-41,0,0,0,-50.629024670473214,-50.629024670473214,0
074-98,0,0,0,-172.13868387960895,-172.13868387960895,0
169-41,0,0,0,-202.51609868189288,-202.51609868189288,0
224-76,0,0,0,-162.0128789455143,-162.0128789455143,0
227-90,0,0,0,-131.63546414323037,-131.63546414323037,0
050-60,0,0,0,-192.39029374779824,-192.39029374779824,0
253-64,0,0,0,-212.64190361598753,-212.64190361598753,0
292-15,0,0,0,-222.76770855008218,-222.76770855008218,0
109-59,0,0,0,-172.13868387960895,-172.13868387960895,0
122-40,0,0,0,-172.13868387960895,-172.13868387960895,0
299-1,0,0,0,-192.39029374779824,-192.39029374779824,0
105-9,0,0,0,-283.52253815464996,-283.52253815464996,0
297-3,0,0,0,-273.39673322055535,-273.39673322055535,0
149-6,0,0,0,-172.13868387960895,-172.13868387960895,0
347-60,0,0,0,-162.0128789455143,-162.0128789455143,0
338-78,0,0,0,-172.13868387960895,-172.13868387960895,0
331-52,0,0,0,-151.88707401141966,-151.88707401141966,0
340-70,0,0,0,-192.39029374779824,-192.39029374779824,0
223-47,0,0,0,-151.88707401141966,-151.88707401141966,0
050-57,0,0,0,-192.39029374779824,-192.39029374779824,0
034-51,0,0,0,-232.89351348417682,-232.89351348417682,0
303-16,0,0,0,-141.761269077325,-141.761269077325,0
054-21,0,0,0,-192.39029374779824,-192.39029374779824,0
153-61,0,0,0,-101.25804934094644,-101.25804934094644,0
126-18,0,0,0,-162.0128789455143,-162.0128789455143,0
254-51,0,0,0,-263.27092828646073,-263.27092828646073,0
327-65,0,0,0,-334.15156282512305,-334.15156282512305,0
108-22,0,0,0,-172.13868387960895,-172.13868387960895,0
212-43,0,0,0,-141.761269077325,-141.761269077325,0
347-34,0,0,0,-162.0128789455143,-162.0128789455143,0
050-71,0,0,0,-192.39029374779824,-192.39029374779824,0
080-28,0,0,0,-131.63546414323037,-131.63546414323037,0
219-81,0,0,0,-151.88707401141966,-151.88707401141966,0
170-18,0,0,0,-243.01931841827147,-243.01931841827147,0
182-7,0,0,0,-384.78058749559614,-384.78058749559614,0
121-18,0,0,0,-151.88707401141966,-151.88707401141966,0
175-71,0,0,0,-243.01931841827147,-243.01931841827147,0
153-2,0,0,0,-101.25804934094644,-101.25804934094644,0
136-89,0,0,0,-232.89351348417682,-232.89351348417682,0
332-32,0,0,0,-243.01931841827147,-243.01931841827147,0
296-50,0,0,0,-70.8806345386625,-70.8806345386625,0
146-89,0,0,0,-172.13868387960895,-172.13868387960895,0
300-61,0,0,0,-111.38385427504109,-111.38385427504109,0
274-92,0,0,0,-70.8806345386625,-70.8806345386625,0
068-13,0,0,0,-91.1322444068518,-91.1322444068518,0
093-28,0,0,0,-263.27092828646073,-263.27092828646073,0
231-63,0,0,0,-111.38385427504109,-111.38385427504109,0
202-68,0,0,0,-50.629024670473214,-50.629024670473214,0
360-41,0,0,0,-263.27092828646073,-263.27092828646073,0
097-65,0,0,0,-182.2644888137036,-182.2644888137036,0
161-0,0,0,0,-182.2644888137036,-182.2644888137036,0
085-57,0,0,0,-222.76770855008218,-222.76770855008218,0
069-28,0,0,0,-91.1322444068518,-91.1322444068518,0
266-33,0,0,0,-91.1322444068518,-91.1322444068518,0
316-82,0,0,0,-70.8806345386625,-70.8806345386625,0
083-66,0,0,0,-81.00643947275715,-81.00643947275715,0
230-51,0,0,0,-81.00643947275715,-81.00643947275715,0
231-62,0,0,0,-111.38385427504109,-111.38385427504109,0
264-82,0,0,0,-151.88707401141966,-151.88707401141966,0
331-81,0,0,0,-151.88707401141966,-151.88707401141966,0
315-68,0,0,0,-131.63546414323037,-131.63546414323037,0
104-58,0,0,0,-111.38385427504109,-111.38385427504109,0
170-6,0,0,0,-243.01931841827147,-243.01931841827147,0
093-12,0,0,0,-263.27092828646073,-263.27092828646073,0
107-58,0,0,0,-243.01931841827147,-243.01931841827147,0
052-64,0,0,0,-162.0128789455143,-162.0128789455143,0
058-76,0,0,0,-232.89351348417682,-232.89351348417682,0
241-51,0,0,0,-334.15156282512305,-334.15156282512305,0
148-84,0,0,0,-283.52253815464996,-283.52253815464996,0
297-23,0,0,0,-273.39673322055535,-273.39673322055535,0
069-94,0,0,0,-91.1322444068518,-91.1322444068518,0
120-13,0,0,0,-212.64190361598753,-212.64190361598753,0
122-7,0,0,0,-172.13868387960895,-172.13868387960895,0
140-18,0,0,0,-354.4031726933123,-354.4031726933123,0
143-96,0,0,0,-101.25804934094644,-101.25804934094644,0
008-24,0,0,0,-283.52253815464996,-283.52253815464996,0
035-42,0,0,0,-222.76770855008218,-222.76770855008218,0
094-80,0,0,0,-222.76770855008218,-222.76770855008218,0
121-98,0,0,0,-151.88707401141966,-151.88707401141966,0
